Title,Label
fotoğraf sednaya hapishanesinde zincirli olarak duran mahkumu gösteriyor,0
edin dzeko başakşehir maçından sonra yalandan sakatlık numarası yapmak benim ahlakıma uygun değil dedi,0
görsel şapka kanununa muhalefet ettiği asılan şalcı bacıyı gösteriyor,0
fotoğraf abd askerlerinin vietnam tahliyesini gösteriyor,0
colaninin giydiği üniformanın israil ürünü olduğu iddiası doğru,0
görüntüler beşar esadın kuzeninin lazkiyede idam edildiğini gösteriyor,0
bilal erdoğanın eskiden türkiyede müzik derslerinde ateist ilahileri öğretildiğine dair açıklama yaptığı iddiası doğru,0
video donald trumpın mason kulübünden rütbe alış törenini gösteriyor,0
fotoğraf cilvegözü sınır kapısından geçmek isteyen suriyelileri gösteriyor,0
fotoğraf esad rejiminin sona ermesiyle ülkelerine dönen suriyeli mültecileri gösteriyor,0
görsel esadın suriyeden kaçtıktan sonraki ilk görüntüsünü gösteriyor,0
videonun greta thunbergin türkiyeye küfür ettiğini gösterdiği iddiası doğru,0
fotoğraf beşar esad döneminde suriyedeki bir plajı gösteriyor,0
video sednaya hapishanesinden çıkarılan bir esiri gösteriyor,0
video suriye ordusunun hamaya hava indirme operasyonunu gösteriyor,0
video şama yürüyen askerleri gösteriyor,0
video abraham lincoln uçak gemisinin kaçışını gösteriyor,0
fotoğrafın barış alper yılmazın sivasspor maçından sonraki halini gösterdiği iddiası doğru,0
internetten konum paylaşan esnaftan konum vergisi alınacak,0
1 ocak 2025ten itibaren sağlık ocağı randevuları 99 tl devlet hastanesi randevuları 199 tl olacak,0
videonun kaliforniya depremini gösterdiği iddiası doğru,0
görsel 1930dan bir şapka reklamını gösteriyor,0
fotoğraf kayıp malezya uçağının uçuşundan önce çekilmiş,0
video antarktikada donmuş halde bulunan canlıların keşfedildiğini gösteriyor,0
norveçte valhalla kapısının bulunduğu iddiası doğru,0
video halepteki türk helikopterleri gösteriyor,0
videonun rusya hava kuvvetlerinin idlibe mühimmat taşıyan bir htş konvoyunu vurduğu anları gösterdiği iddiası doğru,0
suudi arabistan prensi selman ülkeyi laiklik taçlandıracağım dedi,0
alkmaar teknik direktörü maarten marten galatasaray fenerbahçe hakkında paylaşımdaki ifadeleri kullandı,0
nasa jüpiter satürnün güneş sisteminden ayrılabileceğini açıkladı,0
japon bilim insanı ohsuminin bedenin yılda bir ay aç kalması gerektiğini söyleyerek nobel tıp ödülü aldığı iddiası doğru,0
görsel şehit binbaşı mehmet dumanın cebinden çıkan son parasını gösteriyor,0
videonun çinde gizli bir tesiste üretilen tek boynuzlu atları gösterdiği iddiası doğru,0
video abd uçak gemisinin husiler tarafından vurulduğunu gösteriyor,0
videonun soğuk havada donan suyu gösterdiği iddiası doğru,0
video çernobil reaktöründe bulunan mutasyonlu kediyi gösteriyor,0
mimar sinanın eseri olan şemsi paşa camiinin cumhuriyetin ilk yıllarında ahır yapıldığı iddiası doğru,0
ispanya meteoroloji ajansı ispanyanın çeşitli maddelerle spreylendiğini itiraf etti,0
görsel basılacak 500 tl değerindeki banknotu gösteriyor,0
iranda başlayan protestoları gösterdiği iddia edilen video güncel,0
görsel türk devletleri teşkilatı genel sekreterinin türkiye israil ilgili açıklamalarını gösteriyor,0
fotoğraf chp dönemi yapılan mayo denetimini gösteriyor,0
fotoğraf israil başbakanı netanyahunun hastaneye kaldırıldığını gösteriyor,0
görsel abd seçimlerinde aydın büyükşehir belediye başkanına oy atıldığını gösteriyor,0
ibni sinanın hacamat söylediği iddia edilen sözler doğru,0
fotoğraf abdye ait bir uçak gemisine yapılan saldırıdan sonra çekildi,0
tffnin fenerbahçe maçı açıklamasından sonra pendiksporun ilk gece maçı paylaşımı yaptığı iddiası doğru,0
irandaki protesto görüntüleri güncel,0
video ardahanda yapılan kazıyı gösteriyor,0
cristiano ronaldonun fenerbahçeye transfer olduğunu açıkladığı iddiası doğru,0
mike tysonın filistin bayrağı poz verdiği iddiası doğru,0
video arnavutluk başbakanı edi ramanın abdye şeytan dediğini gösteriyor,0
video tarlada çalışan bir robotu gösteriyor,0
bayburtta picasso tablosu ele geçirildi,0
görsel gazzede öldürülen bir kadınla çocuğunu gösteriyor,0
ingiliz bir rapçinin atatürk tişörtü fotoğraf paylaşarak açıklama yaptığı doğru,0
video israil askerlerinin darbe girişimi başlattığını gösteriyor,0
kemal sunalın asıl doğum gününün 10 kasım olduğu iddiası doğru,0
mehmet ali erbil serdar ortaçın tiktok canlı yayın görüntüleri güncel,0
görseldeki açıklamalar mustafa kemal atatürke ait,0
japonya eski icisleri bakanı kazuhiro haraguchinin aşıların milyonlarca insanı öldürdüğünü söylediği iddiası doğru,0
hakan şükürün fetö lideri fethullah gülenin ölmeden önce galatasarayla ilgili bir açıklama yaptığını söylediği doğru,0
aile hekimlerinin çeşitli ilaçları yazamayacağı iddiası doğru,0
inönü döneminde 24 nisan tarihi israilin kuruluş günü nedeniyle bayram ilan edildi,0
video sahte bir uzaylı istilasını gösteriyor,0
didier drogbanın galada sevgilisinin yanından karısının yanına geçtiği iddiası doğru,0
video istanbuldaki bir motosiklet sürücüsünü gösteriyor,0
elinde incil tutan adolf hitler görseli gerçek,0
hizbullah tarafından israil askeri üssünün vurulduğunu gösteren video güncel,0
video ukrayna paralı askerlerinin bir insanı parçalama anını gösteriyor,0
balkan halklarının din görevlilerinin çanakkale savaşında askerlikten muaf olduğu iddiası doğru,0
görsel sidney opera binasının yer altı bölümünü gösteriyor,0
video kaybolmuş bir yavru kutup ayısını gösteriyor,0
