Title,Label
ABD Başkanı Trump ve destekçilerinin Rabia işareti yaptığı iddiası,YANLIŞ
Fotoğrafta Atatürk'ün güldüğü iddiası,YANLIŞ
İsrail Başkonsolosluğu’nda ateş yakıldığını gösteren video güncel mi?,YANLIŞ
Afişin 2022 Dünya Kupası’ndaki yasakları gösterdiği iddiası,YANLIŞ
İYİ Parti'de istifalar: Buğra Kavuncu ve Burak Akburak görevlerini bıraktı,DOĞRU
Çanakkale'de bazı feribot seferleri iptal edildi,DOĞRU
Video Valencia açıklarındaki HAARP istasyonunu mu gösteriyor?,YANLIŞ
CHP'li Pala'dan Bakan Işıkhan'a ISG sorusu: Bakanlığın bir çalışması var mı?,DOĞRU
Videonun 1 Ocak 2023'te Kâbe’ye yağan karı gösterdiği iddiası,YANLIŞ
"Bahçeli’nin 'muhalefetle yumuşama' açılımı: Nezaket mi, siyasi taktik mi?",DOĞRU
"Hrant Dink davası sanığı eski Jandarma İstihbarat personeli, CHP'ye katılmış",DOĞRU
Süper Kupa krizi: Fenerbahçe çekildi,DOĞRU
"Jacques Attali'nin ""Verbatim"" Adlı Kitabında Salgın Kaynaklı Toplu Katliamları Destekledi mi?",YANLIŞ
Ivermectin İlacı Omicron Varyantına Karşı Etkili mi?,YANLIŞ
Aile ve Sosyal Hizmetler Bakanlığı’nın kadınlara 4 bin TL destek vereceği iddiası,YANLIŞ
"Ev hapsindeki gazeteci Özlem Gürses, canlı yayını evinden yaptı; ""Kelepçeyi, görüntü almak için taktılar""",DOĞRU
Güney Kore’nin azledilen Devlet Başkanı Yoon Suk Yeol'un yargılanma süreci belirleniyor,DOĞRU
"Türk Yıldızları akrobasi timine ait uçak Konya'da düştü: Pilot kurtuldu, bir askeri personel hayatını kaybetti",DOĞRU
Romanya’nın aşılamayı ölüme neden olduğu için durdurduğu iddiası,YANLIŞ
"KADES verisi: Diyarbakır'da bu yıl 1631 kadın ""imdat"" butonuna basarak yardım aldı",DOĞRU
Uydu görüntülerinin Kasım 2022’deki Endonezya depremine ait olduğu iddiası,YANLIŞ
Cumhurbaşkanı Erdoğan’ın asgari ücreti güncellediği iddiası,YANLIŞ
İddiadaki Şehirler Türkiye'nin En Yüksek Boşanma Oranlarına mı Sahip?,YANLIŞ
Fotoğraf Çin'de Öğrenci Yurdunu mu Gösteriyor?,YANLIŞ
Yeni Merkez Bankası yönetiminin ilk kararı TL zorunlu karşılıklara faiz oldu,DOĞRU
