Title,Label
abd başkanı trump destekçilerinin rabia işareti yaptığı iddiası,0
fotoğrafta atatürkün güldüğü iddiası,0
israil başkonsolosluğunda ateş yakıldığını gösteren video güncel,0
afişin 2022 dünya kupasındaki yasakları gösterdiği iddiası,0
iyi partide istifalar buğra kavuncu burak akburak görevlerini bıraktı,1
çanakkalede feribot seferleri iptal edildi,1
video valencia açıklarındaki haarp istasyonunu gösteriyor,0
chpli paladan bakan işıkhana isg sorusu bakanlığın bir çalışması var,1
videonun 1 ocak 2023te kâbeye yağan karı gösterdiği iddiası,0
bahçelinin muhalefetle yumuşama açılımı nezaket siyasi taktik,1
hrant dink davası sanığı eski jandarma istihbarat personeli chpye katılmış,1
süper kupa krizi fenerbahçe çekildi,1
jacques attalinin verbatim adlı kitabında salgın kaynaklı toplu katliamları destekledi,0
ivermectin ilacı omicron varyantına karşı etkili,0
aile sosyal hizmetler bakanlığının kadınlara 4 bin tl destek vereceği iddiası,0
ev hapsindeki gazeteci özlem gürses canlı yayını evinden yaptı kelepçeyi görüntü almak taktılar,1
güney korenin azledilen devlet başkanı yoon suk yeolun yargılanma süreci belirleniyor,1
türk yıldızları akrobasi timine ait uçak konyada düştü pilot kurtuldu bir askeri personel hayatını kaybetti,1
romanyanın aşılamayı ölüme olduğu durdurduğu iddiası,0
kades verisi diyarbakırda yıl 1631 kadın imdat butonuna basarak yardım aldı,1
uydu görüntülerinin kasım 2022deki endonezya depremine ait olduğu iddiası,0
cumhurbaşkanı erdoğanın asgari ücreti güncellediği iddiası,0
iddiadaki şehirler türkiyenin yüksek boşanma oranlarına sahip,0
fotoğraf çinde öğrenci yurdunu gösteriyor,0
yeni merkez bankası yönetiminin ilk kararı tl zorunlu karşılıklara faiz oldu,1
covid19dan korunmak dezenfektan tüketen 800 kişinin öldüğü iddiası,0
aşılar covid19 salgınından önce üretildi,0
ispanyada adana isminde bir kasaba bulunduğu doğru,1
ataşehirde park kavgası kanlı bitti 1 kişi hayatını kaybetti,1
görüntüler kendi kendini vuran iran füzelerini gösteriyor,0
iranlı sosyal medya fenomeni kağıthanedeki evinin penceresinden düştü evde mahsur kalan çocuğunu itfaiye kurtardı,1
izmirde 2 kişinin yaşamına mal olan ihmal sorumlu,1
hindistan iki güneş görüldü,0
barcelonanın stadı camp nouda atatürk posteri açıldığı messinin atatürk baskılı tişört giydiği iddiası,0
kilisede ezan okuyan kişi netanyahuyu protesto eden bir papaz,0
nazım daştan cihan bilgin eylemi gözaltına alınan gazeteciler savcılığa sevk edildi,1
johnsonjohnson aşısının prospektüsünün gizlendiği iddiası,0
yurt dışı ikinci tur oy verme süreleri uzatıldı,1
görüntülerin endonezyadaki merapi yanardağı patlamasına ait olduğu iddiası,0
yolun sonu sbf yargıç karşısında,1
fotoğraf türkiyeden nablusa giden bir konteynerde yakalanan silahları gösteriyor,0
devasa hortumun görüldüğü video abddeki güncel kasırgaları gösteriyor,0
afad ekipleri umke sednaya hapishanesinde arama kurtarma operasyonu yürütüyor,1
rf ilk avrupa puanını galatasaraydan aldı,0
istanbul kentsel dönüşümde kira yardımı artırıldı,1
odtünün eski rektörü verşan kök türkjapon bilim teknoloji üniversitesi rektörlüğüne atandı,1
türkiye brics üyeliği konusunda hangi mesajları veriyor,1
fotoğraf 1700 yıllık bir yumurtayı gösteriyor,1
bozburundaki marina sözleşmesi 13 günlük şirkete verilmiş,1
tolunay örenin kalp damar uzmanları dünya şampiyonasında birinci olduğu iddiası,0
kadına şiddeti iş işten geçmeden önlemek mümkün,1
mansur yavaş sgk 900 milyar liralık alacağını tahsil etmiyor onların kimler olduğu açıklansın millet görsün,1
video kaliforniyadaki deprem anını gösteriyor,0
görselin aynı anda iki güneş görüldüğünü gösterdiği iddiası,0
çin rusyanın covid19 aşılarının grip aşısından farkı olmadığı iddiası,0
mağara evi paylaşılan görseldeki yapının polatlıdan olduğu iddiası,0
fotoğraf ateizm derneğinin metin ucanın cenazesine çiçek gönderdiğini gösteriyor,0
hpv aşısı belediyelerin uygulamaları yeterli,1
bayburtta yapılacak havalimanının 2 milyon yolcu garantili olduğu iddiası,0
şanlıurfada 5 gün boyunca eylem gösteriler yasaklandı,1
ankaranın altındağ ilçesinde öldürülmüş hâlde sayıda köpek bulundu,1
abbnin güvenparka kurduğu dijital pano tmmob tarafından şikayet edildi,1
danimarkada elektrik enerjisinin yüzde 40ının dalgalardan sağlandığı iddiası,0
görselde fethullah gülenin yanında duran kişinin kemal kılıçdaroğlu olduğu iddiası,0
dünya 2023 seçimlerine bakıyor,1
fotoğrafın yıllarca kadınlar hamamında kör taklidi yaparak ud çalan birini gösterdiği iddiası,0
görüntülerin brezilyadaki aşı karşıtı eylemleri gösterdiği iddiası,0
filenin sultanları tarihinde ilk avrupa şampiyonu,1
video yunanistanda bayrağın kırmızı beyaz olmasına dair tartışmayı gösteriyor,0
fotoğrafın florence kasırgasında vegan ürünleri kimsenin almadığını gösterdiği iddiası,0
mersin gümrük idaresinde rüşvet operasyonu 91 kişi tutuklandı,1
tişrin barajında çökme tehlikesine türkiyeden önlem,1
seçime doğru putinden nükleer resti,1
bahçeli yaptığımız söylediğimiz şeyin arkasındayız kürt kardeşlerimizle kucaklaşıyoruz,1
harmony girişiminin türk gelin yabancı damat temalı bir projesi yok,0
chpli konuralpten ali erbaşa tepki bir audiyi diyanet işleri başkanına gördüler demekten çekinmedi,1
diyarbakır sise teslim uçak seferleri bugün iptal edildi,1
dağdan geçmeyen tünel fotoğrafı neyi gösteriyor,1
hizbullah tarafından işkenceyle katledilen konca kurişin baskı altında çekilmiş görüntüleri ortaya çıktı,1
aile bakanı göktaştan sosyal medyaya 16 yaş kısıtı açıklaması,1
2022 apostonun yıl sonu mektubu,1
sahra tozu atinada gökyüzünü turuncuya boyadı,1
diyanetin kedi köpek beslemeyi haram ilan eden bir fetva verdiği iddiası,0
video seferberlik nedeniyle ülkeden kaçan rusları gösteriyor,0
gelecek saadet deva çatı parti bir masada davutoğlunun ruhum ak partiden kopmadı açıklaması tartışılıyor,1
mera otlatma planındaki ücretlendirmeler yeni değil,0
görsel covid aşısından sonra vücutta gezen zehri alan sülükleri gösteriyor,0
chp çankaya adayı güner genel başkanla ailevi ticari bir ilişkim olduğu adaylaşmadım,1
can kaybı 21 bin 43e yükseldi,1
video tel avivdeki netanyahu karşıtı gösteriyi gösteriyor,0
fotoğrafın depremzedeler yapılan konutları gösterdiği iddiası,0
time dergisi diyarbakırı türkiyenin iyi imar uygulamasına sahip kenti ilan etti,0
a haberin türk lirası pakistan rupisi hakkında alt bant kullandığı iddiası,0
tesk başkanı palandökenden sahte milli piyango bileti uyarısı,1
gökhan zan krizi seçime girebilecek,1
istanbul barosu basın mensuplarının çatışma bölgelerinde hedef alınması cenevre sözleşmesinin ihlali niteliğindedir,1
fotoğraftaki altı kirli şahıs abd başkanı joe biden,0
videonun mutluluk hormonunu gösterdiği iddiası,0
görseldeki makale arzulanan erkek özelliklerini ortaya koyan bir araştırmayı gösteriyor,0
elon musk trumpın fotoğrafına benzeyen tablo gerçek,0
videonun ukraynaya yapılan roket saldırısını gösterdiği iddiası,0
memleket partisi üyelerinin istifa ettiğini duyuran hesapların gerçek olduğu iddiası,0
netanyahu golan tepeleri sonsuza kadar israilin ayrılmaz bir parçası olacak,1
beyrutta atom bombası patladığı iddiası,0
videonun koşan kaplumbağaları gösterdiği iddiası,0
